id,timestamp,install_code,suhu,kelembaban,amonia,suhu_c,kelembaban_percent,amonia_ppm,grade,grade_label,anomaly_status,is_anomaly,pump_on,pump_duration_s,grade_id
2555,2025-09-29T10:46:53.087719Z,ESP32_IDM_003_L1,32.52,72.36,2.7,32.52,72.36,2.7,jelek,0,anomaly,1,True,63.400000000000034,0
2554,2025-09-29T10:45:53.031868Z,ESP32_IDM_003_L1,32.55,72.09,2.73,32.55,72.09,2.73,jelek,0,anomaly,1,True,65.04999999999995,0
2553,2025-09-29T10:44:52.949517Z,ESP32_IDM_003_L1,32.61,71.94,2.69,32.61,71.94,2.69,jelek,0,anomaly,1,True,66.4,0
2552,2025-09-29T10:43:52.865384Z,ESP32_IDM_003_L1,32.66,71.54,2.68,32.66,71.54,2.68,jelek,0,anomaly,1,True,68.89999999999993,0
2551,2025-09-29T10:42:52.780714Z,ESP32_IDM_003_L1,32.59,72.4,2.65,32.59,72.4,2.65,jelek,0,anomaly,1,True,63.900000000000006,0
2550,2025-09-29T10:41:52.697559Z,ESP32_IDM_003_L1,32.49,72.36,2.68,32.49,72.36,2.68,jelek,0,anomaly,1,True,63.10000000000002,0
2549,2025-09-29T10:40:52.642789Z,ESP32_IDM_003_L1,32.47,72.61,2.68,32.47,72.61,2.68,jelek,0,anomaly,1,True,61.64999999999999,0
2548,2025-09-29T10:39:52.558552Z,ESP32_IDM_003_L1,32.44,72.54,2.67,32.44,72.54,2.67,jelek,0,anomaly,1,True,61.699999999999946,0
2547,2025-09-29T10:38:52.474484Z,ESP32_IDM_003_L1,32.42,72.78,2.64,32.42,72.78,2.64,jelek,0,anomaly,1,True,60.30000000000001,0
2546,2025-09-29T10:37:52.393333Z,ESP32_IDM_003_L1,32.41,72.62,2.64,32.41,72.62,2.64,jelek,0,anomaly,1,True,60.99999999999994,0
2545,2025-09-29T10:36:52.308083Z,ESP32_IDM_003_L1,32.35,72.7,2.62,32.35,72.7,2.62,jelek,0,anomaly,1,True,60.0,0
2544,2025-09-29T10:35:52.253Z,ESP32_IDM_003_L1,32.42,72.36,2.68,32.42,72.36,2.68,jelek,0,anomaly,1,True,62.40000000000002,0
2543,2025-09-29T10:34:52.22904Z,ESP32_IDM_003_L1,32.55,72.1,2.66,32.55,72.1,2.66,jelek,0,anomaly,1,True,65.0,0
2542,2025-09-29T10:33:52.087383Z,ESP32_IDM_003_L1,32.52,72.17,2.69,32.52,72.17,2.69,jelek,0,anomaly,1,True,64.35000000000002,0
2541,2025-09-29T10:32:52.002483Z,ESP32_IDM_003_L1,32.51,72.27,2.71,32.51,72.27,2.71,jelek,0,anomaly,1,True,63.75,0
2540,2025-09-29T10:31:51.920964Z,ESP32_IDM_003_L1,32.51,72.44,2.71,32.51,72.44,2.71,jelek,0,anomaly,1,True,62.89999999999999,0
2539,2025-09-29T10:30:51.864672Z,ESP32_IDM_003_L1,32.55,72.09,2.66,32.55,72.09,2.66,jelek,0,anomaly,1,True,65.04999999999995,0
2538,2025-09-29T10:29:51.781067Z,ESP32_IDM_003_L1,32.58,71.89,2.67,32.58,71.89,2.67,jelek,0,anomaly,1,True,66.34999999999998,0
2537,2025-09-29T10:28:51.696992Z,ESP32_IDM_003_L1,32.61,71.58,2.67,32.61,71.58,2.67,jelek,0,anomaly,1,True,68.2,0
2536,2025-09-29T10:27:51.613882Z,ESP32_IDM_003_L1,32.58,71.99,2.68,32.58,71.99,2.68,jelek,0,anomaly,1,True,65.85000000000001,0
2535,2025-09-29T10:26:51.53014Z,ESP32_IDM_003_L1,32.57,72.32,2.7,32.57,72.32,2.7,jelek,0,anomaly,1,True,64.10000000000004,0
2534,2025-09-29T10:25:51.476661Z,ESP32_IDM_003_L1,32.62,72.05,2.71,32.62,72.05,2.71,jelek,0,anomaly,1,True,65.94999999999999,0
2533,2025-09-29T10:24:51.391644Z,ESP32_IDM_003_L1,32.49,72.32,2.67,32.49,72.32,2.67,jelek,0,anomaly,1,True,63.30000000000005,0
2532,2025-09-29T10:23:51.308617Z,ESP32_IDM_003_L1,32.65,71.62,2.72,32.65,71.62,2.72,jelek,0,anomaly,1,True,68.39999999999996,0
2531,2025-09-29T10:22:51.224069Z,ESP32_IDM_003_L1,32.44,72.11,2.72,32.44,72.11,2.72,jelek,0,anomaly,1,True,63.84999999999998,0
2530,2025-09-29T10:21:51.143745Z,ESP32_IDM_003_L1,32.55,71.99,2.71,32.55,71.99,2.71,jelek,0,anomaly,1,True,65.55,0
2529,2025-09-29T10:20:51.088515Z,ESP32_IDM_003_L1,32.64,71.85,2.7,32.64,71.85,2.7,jelek,0,anomaly,1,True,67.15000000000003,0
2528,2025-09-29T10:19:51.002601Z,ESP32_IDM_003_L1,32.58,71.85,2.63,32.58,71.85,2.63,jelek,0,anomaly,1,True,66.55000000000001,0
2527,2025-09-29T10:18:50.920486Z,ESP32_IDM_003_L1,32.58,71.93,2.64,32.58,71.93,2.64,jelek,0,anomaly,1,True,66.14999999999995,0
2526,2025-09-29T10:17:50.836204Z,ESP32_IDM_003_L1,32.62,71.64,2.68,32.62,71.64,2.68,jelek,0,anomaly,1,True,67.99999999999997,0
2525,2025-09-29T10:16:50.753575Z,ESP32_IDM_003_L1,32.61,71.71,2.7,32.61,71.71,2.7,jelek,0,anomaly,1,True,67.55000000000003,0
2524,2025-09-29T10:15:50.749447Z,ESP32_IDM_003_L1,32.52,72.22,2.75,32.52,72.22,2.75,jelek,0,anomaly,1,True,64.10000000000004,0
2523,2025-09-29T10:14:50.613352Z,ESP32_IDM_003_L1,32.51,72.1,2.67,32.51,72.1,2.67,jelek,0,anomaly,1,True,64.60000000000001,0
2522,2025-09-29T10:13:50.530866Z,ESP32_IDM_003_L1,32.49,72.19,2.69,32.49,72.19,2.69,jelek,0,anomaly,1,True,63.95000000000003,0
2521,2025-09-29T10:12:50.446198Z,ESP32_IDM_003_L1,32.41,72.14,2.68,32.41,72.14,2.68,jelek,0,anomaly,1,True,63.39999999999996,0
2520,2025-09-29T10:11:50.364423Z,ESP32_IDM_003_L1,32.49,72.02,2.67,32.49,72.02,2.67,jelek,0,anomaly,1,True,64.80000000000004,0
2519,2025-09-29T10:10:50.317805Z,ESP32_IDM_003_L1,32.38,72.45,2.65,32.38,72.45,2.65,jelek,0,anomaly,1,True,61.55000000000001,0
2518,2025-09-29T10:09:50.237116Z,ESP32_IDM_003_L1,32.37,72.87,2.6,32.37,72.87,2.6,jelek,0,anomaly,1,True,59.34999999999995,0
2517,2025-09-29T10:08:50.198576Z,ESP32_IDM_003_L1,32.34,72.28,2.62,32.34,72.28,2.62,jelek,0,anomaly,1,True,62.00000000000003,0
2516,2025-09-29T10:07:50.057801Z,ESP32_IDM_003_L1,32.33,72.36,2.6,32.33,72.36,2.6,jelek,0,anomaly,1,True,61.49999999999999,0
2515,2025-09-29T10:06:49.972439Z,ESP32_IDM_003_L1,32.47,71.77,2.63,32.47,71.77,2.63,jelek,0,anomaly,1,True,65.85000000000001,0
2514,2025-09-29T10:05:49.919271Z,ESP32_IDM_003_L1,32.42,72.27,2.64,32.42,72.27,2.64,jelek,0,anomaly,1,True,62.85000000000004,0
2513,2025-09-29T10:04:49.835848Z,ESP32_IDM_003_L1,32.4,72.0,2.61,32.4,72.0,2.61,jelek,0,anomaly,1,True,63.99999999999999,0
2512,2025-09-29T10:03:49.752233Z,ESP32_IDM_003_L1,32.4,72.36,2.69,32.4,72.36,2.69,jelek,0,anomaly,1,True,62.19999999999999,0
2511,2025-09-29T10:02:49.668976Z,ESP32_IDM_003_L1,32.4,72.38,2.67,32.4,72.38,2.67,jelek,0,anomaly,1,True,62.10000000000001,0
2510,2025-09-29T10:01:49.584439Z,ESP32_IDM_003_L1,32.4,72.51,2.65,32.4,72.51,2.65,jelek,0,anomaly,1,True,61.44999999999996,0
2509,2025-09-29T10:00:49.53066Z,ESP32_IDM_003_L1,32.31,72.58,2.65,32.31,72.58,2.65,jelek,0,anomaly,1,True,60.20000000000003,0
2508,2025-09-29T09:59:49.447817Z,ESP32_IDM_003_L1,32.35,72.47,2.65,32.35,72.47,2.65,jelek,0,anomaly,1,True,61.15000000000002,0
2507,2025-09-29T09:58:49.361905Z,ESP32_IDM_003_L1,32.42,72.18,2.62,32.42,72.18,2.62,jelek,0,anomaly,1,True,63.29999999999998,0
2506,2025-09-29T09:57:49.281213Z,ESP32_IDM_003_L1,32.4,72.43,2.6,32.4,72.43,2.6,jelek,0,anomaly,1,True,61.84999999999995,0
2505,2025-09-29T09:56:49.196891Z,ESP32_IDM_003_L1,32.25,72.17,2.61,32.25,72.17,2.61,jelek,0,anomaly,1,True,61.64999999999999,0
2504,2025-09-29T09:55:49.140787Z,ESP32_IDM_003_L1,32.44,72.23,2.61,32.44,72.23,2.61,jelek,0,anomaly,1,True,63.24999999999996,0
2503,2025-09-29T09:54:49.057835Z,ESP32_IDM_003_L1,32.4,72.1,2.61,32.4,72.1,2.61,jelek,0,anomaly,1,True,63.500000000000014,0
2502,2025-09-29T09:53:48.975188Z,ESP32_IDM_003_L1,32.41,72.22,2.59,32.41,72.22,2.59,jelek,0,anomaly,1,True,62.99999999999997,0
2501,2025-09-29T09:52:48.889222Z,ESP32_IDM_003_L1,32.37,72.25,2.54,32.37,72.25,2.54,jelek,0,anomaly,1,True,62.44999999999997,0
2500,2025-09-29T09:51:48.807502Z,ESP32_IDM_003_L1,32.4,71.85,2.53,32.4,71.85,2.53,jelek,0,anomaly,1,True,64.75000000000001,0
2499,2025-09-29T09:50:48.752671Z,ESP32_IDM_003_L1,32.54,71.53,2.53,32.54,71.53,2.53,jelek,0,anomaly,1,True,67.74999999999999,0
2498,2025-09-29T09:49:48.668639Z,ESP32_IDM_003_L1,32.58,72.07,2.54,32.58,72.07,2.54,jelek,0,anomaly,1,True,65.45000000000002,0
2497,2025-09-29T09:48:48.584Z,ESP32_IDM_003_L1,32.48,71.61,2.57,32.48,71.61,2.57,jelek,0,anomaly,1,True,66.74999999999997,0
